岗位名称,区位,薪资,工作年限,学历,关键词1,关键词2,关键词3,公司名,企业类别,企业规模,岗位要求,更新时间,来源
自然语言处理开发工程师,北京-朝阳,15k-30k,1-3年,硕士,计算机相关专业,数学/统计相关专业,Python,天云大数据,互联网金融,100-499人,"工作内容：
1、负责自然语言处理相关产品研发，包括信息抽取、知识问答、知识图谱等内容；
2、跟踪和评估相关的算法进展和发展趋势。
工作要求：
1、精通Python开发语言
2、具有良好自然语言处理、知识图谱等方面的技术背景
3、熟练使用版本管理工具（git），具有规范的代码编写习惯
4、有强烈的上进心和求知欲，善于学习新事物
5、强烈的责任心，良好的沟通能力，良好的团队合作精神",2023-11-24,boss直聘
自然语言处理/机器学习算法工程师,北京,26k-52k,经验不限,学历不限,自然语言处理,后端开发,NLP,百度,互联网,10000人以上,"工作职责
参与百度战略级AI产品— 度秘的对话系统核心算法研发，包括但不限于
-负责度秘对话系统的意图理解、槽位解析等核心算法研发
-负责度秘对话系统中多轮查询理解和对话状态跟踪等核心算法研发
-负责度秘对话系统中跨领域BOT对话管理、排序、引导等核心算法研发
任职资格
-熟悉机器学习基础理论和常用算法，有2年以上相关项目经验、有深度学习经验者优先
-熟悉自然语言处理基础理论和常用算法，有文本分类、序列标注等经典任务相关项目经验者优先（以上两条有一条即可）
-熟练使用C/C++/Python等至少一门语言，熟练使用数据结构和常用算法，有较强的算法设计和实现能力
-较强的技术攻关能力，能够跟进领域内最新技术研究成果，并结合应用场景快速实验和调优
-优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情
-有强烈的上进心和求知欲，产品问题驱动导向
-良好的沟通能力，良好的团队合作精神",2023-11-10,boss直聘
机器学习/自然语言处理,北京-海淀,30k-40k·16薪,经验不限,本科,业务导向,搜索/推荐,Java,百度,互联网,10000人以上,"工作职责:
-负责内容理解/内容生成/内容改写/搜索策略/推荐策略 等策略算法方向的研发工作
-对互联网海量资源和需求进行挖掘、识别及分类，理解与满足用户搜索需求
-基于跨模态内容、商品图谱理解，提升多元内容生产能力，结合搜索排序/推荐策略优化，满足用户多样性内容需求
-调研评估业界领先的信息抽取/内容分类/生成算法，并在业务场景探索落地
职位要求:
-全日制本科及以上学历，计算机、自动化、信息工程等相关专业
-具有以下一个或多个领域的理论背景和实践经验者优先：机器学习/数据挖掘/深度学习/搜广推/自然语言处理
-熟练掌握Python/JAVA/C++ 至少一门语言，熟练使用常用算法和数据结构，熟悉Linux系统
-熟悉主流机器学习框架，熟悉spark/hadoop/mpi等大数据处理框架优先
-良好的逻辑思维能力，对数据敏感，能够发现关键数据、抓住核心问题
-有强烈的上进心和求知欲，善于学习新事物，渴望用技术改变未来",2023-11-10,boss直聘
自然语言处理算法,北京-海淀,20k-40k·16薪,1-3年,本科,搜索/推荐,Python,,百度,互联网,10000人以上,"内部团队~欢迎了解细节和投递~
搜索策略部_机器学习/数据挖掘/NLP_北京
基本要求：
—学历：本科及以上
—专业：计算机相关专业
工作职责：
负责以下工作中的一个或多个方面
—负责搜索query理解，主要涉及query分类、意图识别及结构化解析等算法优化工作
—负责通用垂类检索，主要涉及召回&相关性、排序模型及策略优化工作
—负责搜索混排策略，主要涉及异构混排、多目标、CTR&时长预估等模型及策略优化工作
任职要求：
—具有一个或多个领域的理论背景和实践经验：机器学习/数据挖掘/深度学习/信息检索/自然语言处理
—有query理解、搜索策略、排序等相关技术研究或实践经验者优先
—熟悉C/C++语言编程，熟练掌握linux平台、shell或python脚本编程。 熟练使用常用算法和数据结构
—热爱互联网，有强烈的上进心和求知欲，善于学习和运用新知识",2023-12-04,boss直聘
自然语言处理,北京-海淀,20k-40k·15薪,1-3年,本科,自然语言处理,深度学习算法,搜索算法,百度,互联网,10000人以上,"岗位职责：
-参与搜索核心策略工作，基于海量网页数据，应用最前沿的机器学习及NLP算法，做最激动人心的技术，给用户最好的搜索体验；
-具体方向包括不限于：
1）页面分析：以通用技术，从千亿量级网页中提取有价值的信息，对网页进行充分的结构理解；
2）语义质量：对网页进行语义质量建模，建设优质、低质识别能力，提升搜索体验；
3）知识图谱：在网页结构理解基础上，基于搜索业务场景，构建全网资源知识库，打造智能搜索引擎；
4）query理解：对query进行意图等语义理解，结合doc理解，提升搜索体验
任职要求：
-熟悉自然语言处理、机器学习、模式识别等常用算法，对自然语言处理方向有深入实践、对搜索业务有经验者优先
-熟练使用C/C++/Python等至少一门语言，熟悉常用数据结构及算法
-具备良好的学习能力，能够跟进领域内最新技术研究成果，并结合应用场景快速实验和调优
-具备良好的团队合作精神和沟通意识",2023-11-10,boss直聘
自然语言处理研发工程师,北京-海淀,12k-22k·14薪,经验不限,硕士,Python,C++,PyTorch,中国知网,互联网,1000-9999人,"岗位职责：
1、从事自然语言处理相关的算法设计、实现、优化
2、结合公司业务，利用自然语言处理技术与图像分析技术解决海量文献信息处理中的实际问题
岗位要求：
1、本科需要两年以上工作经验；研究生应届生需要有项目经验。有一定的相关研究或项目经验，有大规模数据处理、 图像处理、相似性计算、搜索引擎项目工作经验；熟练掌握C/C++优先；
2、理解各种常用的数据结构和算法；熟悉自然语言处理/机器学习/文本挖掘/信息检索等领域的基础理论和方法；
3、熟练掌握C/C++ 编程语言；较好的编码规范，熟悉linux开发环境；有opencv应用经验或者熟练掌握python
4、有较强的分析问题和解决问题的能力;有良好的团队合作精神和执行力‘’诚实正直。",2023-12-08,boss直聘
自然语言处理/知识图谱算法工程师,北京-朝阳,30k-60k·16薪,1-3年,硕士,自然语言处理项目经验,有国际期刊/会议论文发表,人工智能,美团,互联网,10000人以上,"部门介绍：搜索与NLP部是美团AI平台下人工智能技术研发的核心团队，致力于打造高性能、高扩展的搜索引擎和领先的自然语言处理核心技术和服务能力，依托搜索排序，NLP（自然语言处理）、Deep Learning（深度学习）、Knowledge Graph（知识图谱）等技术，处理美团海量文本数据，打通餐饮、旅行、休闲娱乐等本地生活服务各个场景数据，不断加深对用户、场景、查询和服务的理解，高效地支撑形态各样的生活服务搜索，解决搜索场景下的多意图、个性化，时效性问题，给用户良好的搜索体验，构建美团知识图谱，搭建通用NLP Service，为美团各项业务提供智能的文本语义理解服务。我们的团队既注重AI技术的落地，也开展中长期的搜索、NLP及知识图谱基础研究。目前项目及业务包括搜索引擎研发、知识图谱、智能客服、语音语义搜索、文章评论语义理解、智能助理等。
工作内容：
1. 基于大模型、知识图谱技术构建模型完成业务目标
2. 人工智能、大模型前沿问题的探索与实践
岗位要求：
1. 两年以上相关工作经验，参与过搜索、问答、大模型、知识图谱至少其一领域的效果优化工作，关注行业及学界进展；
2. 扎实的算法基础，熟悉深度学习和自然语言处理技术，能够指导一线技术开发，对技术开发及应用有热情；
3. 熟悉Java/Python等编程语言，有一定的工程能力；
4. 熟练掌握Tensorflow、PyTorch等深度学习框架并结合实际项目经验
5. 目标感强，善于分析和发现问题，拆解简化，能够从日常工作中发现新的空间；
有预训练经验、国际顶会论文优先",2023-12-08,boss直聘
自然语言处理,北京-朝阳,30k-60k·16薪,经验不限,本科,深度学习算法,,,阿里巴巴集团,互联网,10000人以上,"职位描述
1、负责全网百亿级网页搜索引擎的文本语义分析及处理工作；
2、基于海量用户行为数据以及人工标注数据，利用数据挖掘、机器学习、NLP等技术，对排序效果进行极致优化，满足用户搜索需求；
3、研究方向包括但是不限于对query和网页的分析与处理，优化排序的文本语义模型、文本相关性模型、质量模型、时效性模型等
职位描述
1、自然语言处理、文本挖掘、机器学习、文本排序等相关专业，或者在该领域有相关工作经验；
2、熟悉人工智能、自然语言处理领域前沿技术，能快速落地至业务场景；
3、熟悉linux开发环境，熟悉C++，python，扎实的数据结构和算法功底；
4、有搜索排序经验者优先；
5、能够从复杂的业务场景中进行算法选型、算法优化以及不断提升效果，对项目效果追求极致，有极强的自我驱动力；",2023-11-10,boss直聘
自然语言处理算法,北京,20k-30k·15薪,1-3年,硕士,无明显侧重,搜索/推荐,Python,百度,互联网,10000人以上,【百度-搜索策略部招聘】团队主要负责百度通用搜索的效果优化，方向不限于：大规模深度学习技术优化召回、排序；基于BERT/ERNIE等深度语义技术的网页质量建模等，欢迎自荐！,2023-11-15,boss直聘
中级自然语言处理算法工程师,北京-朝阳,20k-40k,1-3年,本科,TensorFlow,PyTorch,自然语言处理项目经验,中图科信数智,数据服务,100-499人,"岗位职责
1、与算法研究员一起开展中、英文大型语言模型研发，并应用于指定场景；
2、与算法研究员一起开展支持多轮问答和多模态的智能问答系统研发，并应用于指定场景。
岗位要求
1、统招本科及以上学历，人工智能相关专业，自然语言处理专业优先考虑；
2、有大模型研发经验或智能问答系统研发经验者优先考虑；
3、熟练掌握主流的人工智能/机器学习开发平台，熟练掌握TensorFlow/PyTorch；
4、熟悉自然语言处理原理，熟练掌握NLP基本技术、CNN、RNN、LSTM、GAN、BERT、Transformer等，对NLP的相关领域有深刻理解；
5、有工作经验，或在读阶段有大模型研发或智能问答系统研发经历；
6、对多模态有一定认识，最好有相关研发经验或项目经验；
7、团队合作意识强；
8、沟通顺畅。",2023-12-08,boss直聘
人工智能创作研发_自然语言处理算法工程师,北京-海淀,20k-40k·16薪,1-3年,本科,PyTorch,TensorFlow,计算机相关专业,百度,互联网,10000人以上,"工作职责:
1、参与LLM核心算法工作，基于海量的内容及前沿的大语言模型，提升文本业务效果
2、利用前沿NLP技术，对创意文案进行内容理解，质量识别，摘要提取，加工优化等，产生优质文案
3、负责AIGC等技术产品策略研发，提升端到端产品体验和效果
4、追踪LLM前沿技术方向，相关模型的迭代优化
任职资格:
1、熟练掌握自然语言处理、机器学习的常用算法，对大规模预训练模型有深入实践者优先
2、有扎实的机器学习实践经验，熟悉一种主流的机器学习框架（Tensorflow，PyTorch，MXNet，PaddlePaddle）
3、具备良好的学习能力，能够跟进领域内最新技术研究成果，并结合应用场景快速实验和调优
4、在顶会上有论文者优先
5、积极主动，责任心强，有良好的团队合作和沟通能力",2023-11-10,boss直聘
自然语言处理算法专家,北京,30k-60k,经验不限,学历不限,计算机相关专业,,,某500强上市公司,电子商务,1000-9999人,"1、利用NLP技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作，包括但不限于：prompt设计、大模型finetuning、大模型训练
3、紧跟前沿NLP生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
职位要求：
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握Python / C++ / Java中至少一门语言，熟练掌握tensorflow / pytorch / keras等深度学习框架
3、熟悉BERT系列以及GPT系列等预训练模型，熟悉Transformer等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、过往有参与过大型对话系统、大模型训练和部署经验者优先
5、有ACL、EMNLP、ICLR等会议论文发表者优先
6、良好的自驱力，较强的团队合作精神。",2023-12-07,boss直聘
自然语言应用分析工程师,北京-西城,10k-15k,经验不限,硕士,深度学习算法,机器学习算法,大数据,城垣数字,计算机软件,20-99人,"主要从事基于微博、微信等自然语言的应用研究工作。
职位要求：
1、熟悉常见的机器学习和自然语言处理算法，有微博微信等自然语言等相关处理经验；
2、GIS（地理信息系统）、计算机、城乡规划及其相关专业，本科及以上学历；
3、对基于大数据的城市研究感兴趣，具有较强的探索欲和学习能力；
4、掌握大数据处理的基本技能，至少熟悉Python、R语言中的一种，熟悉数据库使用以及较强的数据建模和分析能力；
5、了解城市相关数据资源及处理流程，对数据敏感、具备良好的逻辑思维能力，能够从海量数据中发现有价值的规律。",2023-11-10,boss直聘
自然语言处理算法专家,北京-海淀,25k-50k,经验不限,学历不限,C/C++,TensorFlow,PyTorch,百度,互联网,10000人以上,"工作职责
-参与搜索核心策略工作，基于海量网页数据，应用最前沿的机器学习及NLP算法，做最激动人心的技术，给用户最好的搜索体验
-页面分析：以通用技术，从千亿量级网页中抽取有价值的信息，对网页进行充分的结构理解
-语义质量：对网页进行语义质量建模，建设优质、低质识别能力，提升搜索体验
-知识图谱：在网页结构理解基础上，基于搜索业务场景，构建全网资源知识库，打造智能搜索引擎
任职资格
-熟悉自然语言处理、机器学习、模式识别等常用算法，对自然语言处理方向有深入实践、对知识图谱有经验者优先
-熟练使用C/C++/Python等至少一门语言，熟悉常用数据结构及算法
-具备良好的学习能力，能够跟进领域内最新技术研究成果，并结合应用场景快速实验和调优
-具备良好的团队合作精神和沟通意识，有带团队经验者最佳",2023-12-08,boss直聘
自然语言处理,北京-海淀,18k-25k·13薪,经验不限,本科,Java,知识图谱相关经验,自然语言处理项目经验,中国知网,互联网,1000-9999人,"熟悉自然语言处理常见算法，了解深度学习在自然处理方向的应用。
了解知识图谱、智能问答、推荐系统相关技术。
熟练掌握Java,Python其中一种语言。
具体工作包含以下一条或多条：
1.负责自然语言理解方向的探索和研究，加强机器对自然语言的理解
2.基于对话上下文意图理解
3.基于问题的智能问答算法
4.超大规模文本相关数据的数据分析与挖掘
职位描述:
1.有自然语言处理和文本挖掘相关项目经验，熟悉文本分类、实体关系抽取、语法分析等领域。
2.在问答系统、对话系统、推荐系统、知识图谱等领域有相关经验者优先
3.精通机器学习，熟练掌握java、python等编程语言
4.有深度学习相关经验
5.发表过顶级会议论文者优先",2023-11-10,boss直聘
自然语言处理算法,北京-海淀,30k-60k·16薪,1-3年,硕士,TensorFlow/PyTorch,机器学习算法/工程化经验,计算机相关专业,百度,互联网,10000人以上,"工作职责
1. 参与大模型内容风控能力的设计、研发工作，提升大模型生成内容的安全性
2. 基于知识内化与外用解决大模型幻觉问题，提升安全性兼顾可用性
3. 紧跟LLM最新技术，基于LLM最新技术提升内容风控能力
4. 紧密协同团队成员，完成团队重要工作目标
任职资格
1. 计算机相关专业，硕士及以上学历，具备良好的数学及深度学习基础
2. 熟练使用pytorch/paddle等主流深度学习框架，熟悉transformer
3. 熟练掌握主流的NLP模型和算法，有实际的文本分类、文本相似检测等实际NLP项目经验，有LLM相关训练、精调、强化学习等经验优先
4. 具备强烈的进取心、自驱力以及团队合作精神，具备良好的逻辑思维和问题分析能力",2023-12-08,boss直聘
自然语言处理算法专家,北京-朝阳,40k-70k·16薪,1-3年,本科,广告,深度学习算法,搜索算法,阿里巴巴集团,互联网,10000人以上,"搜索广告相关性
自然语言处理",2023-11-10,boss直聘
自然语言处理研究员,北京,30k-60k·16薪,经验不限,硕士,深度学习算法,算法设计,Python,腾讯,互联网,10000人以上,"工作职责
负责针对微信特定场景的NLP技术落地工作，包括但不限于算法的设计、工程实现以及持续改进；
负责部分NLP基础技术的研究探索工作；
负责NLP前沿技术方向的追踪，并对组内的规划提出建议。
工作要求
具备深厚的NLP技术基础，具备独立探索NLP前沿方向技术的能力；
具备良好的分析解决问题能力，针对具体的NLP应用场景，能合理设计和优化算法并应用；
熟悉tensorflow或pytorch，具备较好的数据处理能力；
具备良好深度学习/机器学习理论和算法基础的优先；
沟通能力良好，工作认真负责；
在NLP高水平会议上持续发表论文者优先。",2023-12-07,boss直聘
自然语言处理算法,北京-朝阳,20k-40k·15薪,经验不限,硕士,机器学习,语义理解,深度学习,北京车欢欢,计算机软件,10000人以上,"【工作任务】
负责灵犀智能语音语义平台中的NLP算法研发，包括对话机器人、对话内容挖掘等，持续深耕NLP技术，探索大模型落地应用。该岗位接受2023届校招毕业生，接受2024届实习生（实习两个月后，加一轮面试决定留任）。
【岗位要求】
1、优秀的编码能力，有扎实的数据结构和算法功底。
2、熟练掌握Linux开发环境，掌握Python、Java等至少一种编程语言。
3、熟练掌握NLP算法原理和实践，包括文本分类、文本匹配、实体抽取、内容生成等，具备丰富的NLP项目落地经验。
4、具备优秀的学习能力，高效执行力，善于沟通、团队协作。
【部门说明】
AI Lab隶属TEG技术工程平台群，成立于2018年5月，旨在打造AI中台能力，并推进在前台业务中的应用，以提高业务人效、收入和用户体验，目前部门包括灵犀智能语音语义平台、智能营销引擎、机器学习平台、大模型平台等产品和能力。",2023-12-07,boss直聘
内容策略部_自然语言处理算法工程师,北京-海淀,20k-40k·14薪,1-3年,本科,深度学习算法,Python,C++,百度,互联网,10000人以上,"工作职责:
-负责百度信息流内容理解相关研发工作
-负责文本处理相关核心算法研发工作
-应用机器学习、自然语言处理等技术，进行内容资源的分析挖掘，构建内容质量及内容标签体系
职位要求:
-熟悉自然语言处理、机器学习、模式识别等常用算法，对自然语言方向有浓厚兴趣，有相关项目经验、有深度学习经验者优先
-熟练使用C/C++/Python等至少一门语言，熟悉常用数据结构及算法
-具备良好的学习能力，能够跟进领域内最新技术研究成果，并结合应用场景快速实验和调优
-具备良好的团队合作精神和沟通意识",2023-11-10,boss直聘
自然语言处理,北京-海淀,18k-35k,1-3年,本科,自然语言处理,深度学习算法,视觉图像算法,百度,互联网,10000人以上,"职位：自然语言处理研发
工作职责:
-应用机器学习、自然语言处理、深度学习等技术，进行NLP领域的策略研发
-理解与满足用户在B2B上的搜索需求，并予以算法改进和系统实现
-对互联网海量资源的挖掘、识别及分类
职责要求:
-具有以下一个或多个领域的理论背景和实践经验者优先：机器学习/数据挖掘/深度学习/信息检索/自然语言处理/计算机视觉
-掌握python/C++语言编程，熟悉常用数据结构和算法 ，熟悉linux环境，熟悉常用数据结构和算法
-良好的逻辑思维能力，对数据敏感，能够发现关键数据、抓住核心问题
-有强烈的上进心和求知欲，善于学习新事物，渴望用技术改变未来",2023-11-10,boss直聘
自然语言处理算法,北京-海淀,30k-60k·16薪,经验不限,硕士,检索增强生成,内容理解,,百度,互联网,10000人以上,"社招，小组直推哈，hc多（大于海量），快的挂一周可以走完流程
工作职责:
-负责电商内容和商品理解，建设全面深入的商品画像以提升百度电商的用户体验
-利用传统数据挖掘和前沿NLP算法从海量电商文本和富媒体内容中挖掘产品词、属性、观点、情感等信息
-负责调研，评估和调优业界领先的信息抽取、文本/图片分类、文本生成算法，并应用到业务场景
-与产品和运营协同探索全新搜索产品，提升用户在百度的电商心智
职位要求:
-自动化，电子工程，计算机等相关专业全日制硕士及以上学历
-具备优秀的编码能力和扎实的算法功底，并能够熟练地应用到实际业务
-具备数据挖掘，深度学习项目经验，深入理解文本分类、生成、信息抽取算法的原理
-熟悉linux系统知识，python和主流机器学习框架。熟悉mr/spark/mpi等大数据处理框架优先
-对挑战性问题充满激情，渴望技术创新，渴望用技术改变世界
-良好的团队合作精神和主动意识，较强的沟通和逻辑表达能力",2023-12-09,boss直聘
自然语言处理算法工程师,北京-海淀,25k-50k·14薪,1-3年,本科,意图挖掘,语义理解,对话系统,乾知智能,计算机软件,0-20人,"岗位描述：
1、NLP算法工程化拆解封装，SaaS平台开发;
2、分类聚类，知识挖掘，多智能体学习等算法研究;
3、其他文本处理、机器学习相关研发。
任职要求:
1、精通Python，有良好的编程习惯，熟悉数据结构、操作系统原理;
2、掌握常用NLP算法/模型，会调参优化，代码改进;
3、有良好的产品思维，擅长沟通。表达;
4、积极主动，认真负责，有良好的学习能力和协作精神;
5、有大模型研发经验优先。",2023-12-10,boss直聘
自然语言处理算法（P6-P8）,北京,25k-50k·16薪,经验不限,本科,大模型算法,推荐算法,搜索算法,某知名互联网公司,互联网,1000-9999人,"工作职责：
1. NLP机器学习和深度学习算法系统的研发，包括文本分类、搜索、自动标注、知识库和智能问答等技术的研究和开发；
2. 负责完整的算法的设计、开发、维护等整套流程，包括样本收集，特征提取，模型训练，上线部署，及迭代维护等
3. 参与ChatGPT相关和大语言模型相关算法的研究和实现，参与模型的优化和产品性能提升
4. 探索具有落地潜力前沿应用技术，不断提升产品的用户体验
任职要求：
1. 至少3年以上NLP算法研究开发经验,包括语法分析、句法分析、语义表示、问答系统、对话系统等
2. 熟悉NLU相关业务，针对任务型对话系统和开放域对话系统有较深理解；
3. 熟悉机器学习、深度学习等相关技术,Pytorch, TensorFlow/Caffe/MXNet/Theano等
4. 优秀的算法和编程能力，熟悉搜索、排序、图等通用算法，精通C++或Python等
5. 有较强的创新能力，良好的沟通能力以及团队协作能力",2023-12-10,boss直聘
数据挖掘算法架构师（自然语言处理方向）,北京-昌平,20k-40k,经验不限,硕士,自然语言处理,Java,Python,镖狮网,移动互联网,20-99人,"工作职责
1.开发和优化数据挖掘，自然语言处理，推荐系统等领域的特定算法。
2.利用state-of-the-art的算法解决大规模文本的语义理解，信息抽取，统计，分类，检索，和推荐等产品问题。
3.研究自然语言处理领域最新进展，并应用到业务中。
任职条件
1.有自然语言处理，自然语言理解，机器学习等领域的实际项目研发经验；深入理解中文分词，词性标注，句法分析，及统计模型、机器学习、数据挖掘的概念和常用方法；有搜索引擎，文本推荐系统，广告推荐系统，自动文摘，人机对话等领域产品开发经验者优先。
2.对大规模文本数据挖掘系统有深入理解，有Hadoop, Storm, Spark, HBase, Cassandra, MongoDB相关工作经验优先考虑。
3.精通大规模索引和查询系统（如Lucene或Solr者）。
4.精通Java或Python，熟悉Linux开发环境,有较强的编程能力。
5.有独立研究、实验的能力，优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情。
6.敬业踏实、积极主动、思维清晰，良好的责任心，较强抗压能力。
7.学历要求：硕士及以上。",2023-12-09,boss直聘
自然语言处理工程师（NLP）,北京,35k-65k·16薪,经验不限,硕士,人机对话相关经验,有国际期刊/会议论文发表,自然语言处理项目经验,某知名企业,电子商务,1000-9999人,"工作内容：
探索最前沿的自然语言技术，研发并落地下一代的AI对话系统 (大语言模型)
任职要求：
1.主导过机器学习项目，动手能力强
2.擅长沟通，能理清工作的动机和结果结果导向，思维灵活
3.习惯团队合作和数据驱动的决策模式;
有以下其中一项或多项经历，加分:
高性能机器学习、Transformer语言模型、强化学习",2023-12-08,boss直聘
自然语言处理算法,北京-海淀,25k-50k·16薪,经验不限,本科,自然语言处理项目经验,,,百度,互联网,10000人以上,"搜索内容技术部_NLP算法工程师
工作职责
参与搜索核心策略工作，基于海量网页数据，理解页面质量特征和结构特征
-具体方向为页面理解：通过nlp大模型等技术，从千亿量级网页中提取有价值的信息，对网页进行充分的结构理解；
任职资格
-要求有nlp相关项目经验，大模型、term提取、文本相关性相关经验优先；
-熟悉nlp常见模型的基本原理，例如gpt、bert、transformer等；
-熟悉前沿论文动态，有顶会顶刊的论文优先；
-具备良好的团队合作精神和沟通意识",2023-11-10,boss直聘
自然语言处理算法,北京-海淀,25k-45k·16薪,经验不限,本科,Python,TensorFlow,PyTorch,百度,互联网,10000人以上,"工作职责:
-参与搜索核心策略工作，基于海量网页数据，应用最前沿的机器学习及NLP算法，做最激动人心的技术，给用户最好的搜索体验
-页面分析：以通用技术，从千亿量级网页中抽取有价值的信息，对网页进行充分的结构理解
-语义质量：对网页进行语义质量建模，建设优质、低质识别能力，提升搜索体验
-知识图谱：在网页结构理解基础上，基于搜索业务场景，构建全网资源知识库，打造智能搜索引擎
职位要求:
-熟悉自然语言处理、机器学习、模式识别等常用算法，对自然语言处理方向有深入实践、对知识图谱有经验者优先
-熟练使用C/C++/Python等至少一门语言，熟悉常用数据结构及算法
-具备良好的学习能力，能够跟进领域内最新技术研究成果，并结合应用场景快速实验和调优
-具备良好的团队合作精神和沟通意识，有带团队经验者最佳",2023-11-21,boss直聘
自然语言处理,北京-海淀,21k-40k·16薪,经验不限,硕士,深度学习算法,机器学习算法,搜索算法,腾讯,互联网,10000人以上,nlp、排序、召回相关方向,2023-11-10,boss直聘
自然语言处理工程师-搜索,北京,50k-80k·15薪,5-10年,硕士,TensorFlow,C/C++,Python,某大型互联网公司,旅游,1000-9999人,"工作内容包括：
1、参与自然语言处理、计算机视觉等前沿技术研究，在产品中落地，让搜索拥有更强大的检索能力；
2、通过query分析、内容理解、多模态、相关性、大规模语言模型等技术提升产品的搜索体验；
3、参与搜索核心算法改进，包括纠错、改写、意图理解、 视频内容分析、智能问答、机器阅读理解等。
职位要求
1、获得本科及以上学历，计算机、机器学习等相关专业；
2、有以下领域之一的技术积累：
a) 自然语言处理：分类、NER、预训练、自然语言生成、对话、问答、大规模语言模型等；
b) 计算机视觉：图像视频分类、视频内容分析、文字检测和识别、场景理解、人脸识别、物体检测追踪等；
3、优秀的代码能力、数据结构和基础算法功底，熟练C/C++或Python，ACMICPC、NOI/IOI、Top coder、kaggle等比赛获奖者优先；
4、作为主要作者发表过顶级会议论文者优先；
5、沟通合作能力良好，与团队融洽相处。
6、发表过高水平学术会议论文者优先，对使用NLP技术解决实际问题尤为感兴趣者优先。",2023-12-09,boss直聘
自然语言处理算法,北京-朝阳,12k-20k,经验不限,硕士,自然语言处理项目经验,NLP,文本,九瑞网络科技,计算机软件,100-499人,"岗位职责
1、负责业务核心产品的机器学习数据分析模型/策略/算法设计
2、负责AI应用的技术方案设计与实现，攻克技术难点；
3、关注机器学习/数据挖掘/人工智能方向前沿研究，并能将具体场景建模之后快速工程化落地。
任职资格：
1、硕士学历，计算机/人工智能相关专业，有NLP方向经验；
2、掌握Python语言，熟悉人工智能领域开源工具或者平台，熟悉Linux平台；
3、熟悉Torch、Tensorflow、Caffe等至少一种深度学习框架；
4、能够独立完成机器学习相关项目，有模型搭建和参数调优的能力经验；
5、良好的学习能力、沟通能力、团队协作能力、及分析问题解决问题能力，责任心强。
职位福利：五险一金、周末双休、带薪年假、节日福利、年终奖",2023-12-08,boss直聘
推荐策略部_自然语言处理算法工程师,北京-海淀,20k-40k·16薪,1-3年,本科,Java,Python,C/C++,百度,互联网,10000人以上,"工作职责
1. 负责百度Feed推荐系统图像/自然语言处理核心技术研发，包括但不限于图像/文本分类、质量评估、内容理解等，以及相关技术在移动端上的应用 ；
2. 负责对接信息流推荐相关视觉/自然语言处理业务，负责项目沟通、技术拆解、推进及落地；
3. 探索最新CV/NLP技术，打磨产品，推向亿万用户；
4. 在个性化推荐场景下，洞察用户需求，大规模机器学习算法在亿级别用户产品中的应用，创造用户与商业价值；
任职资格
1. 掌握计算机视觉/自然语言处理基础知识，在以上至少一门相关领域有深入研究；
2. 了解机器学习基本算法，如分类、回归、聚类等；
3. 熟悉至少一种深度学习框架，熟悉脚本编程语言（如Shell,Python等）；
4. 具有突出的学习理解能力、逻辑思维能力、沟通协作能力和抗压能力，善于分析问题和解决问题。",2023-11-10,boss直聘
