岗位名称,区位,薪资,工作经验,学历,关键词1,关键词2,关键词3,企业名称,企业类别,企业规模,岗位要求,更新时间
AI算法工程师（NLP方向）（央企正编）,北京,40-50K,经验不限,硕士,AIGC,chatGPT,知识图谱,某通信公司,通信/网络设备,,AIGC，chatGPT，知识图谱，将同一副影像中的AI告警事件进行归并整合、告警压制、告警升级等处理。,更新于：2023-12-20
ai算法工程师,北京·海淀区·学院路,1000-1500元/周,1年以内,硕士,语音/图像识别,翻译,Python,厦门智趣点读科技,互联网,,"工作时间：不限
工作时段：不限
结算方式：周结
招聘截止时间：2023-09-27
职位描述：
对大语言模型进行微调
负责大语言模型的部署、调优，确保模型在各种软硬件架构上的功能、性能、稳定性；
学生实习岗。
任职资格：
硕士及以上学历，计算机相关专业背景；
熟悉Linux
了解pytorch框架
有过模型微调经验优先",更新于：2023-12-20
【AI Researcher】人工智能算法工程师,北京,35-55K·18薪,经验不限,本科,深度学习经验,机器学习算法/工程化经验,计算机相关专业,某计算机软件公司,计算机软件,,"岗位职责：
1. 开展LLM、多模态、NLP、CV、AIGC相关算法的研究与算法优化；
2. 开展LLM、多模态、NLP、CV、AIGC前沿算法研究到应用的转化；
3. 支持产品在LLM、多模态、NLP、CV、AIGC等方面技术需求的调研，提出解决方案，并参与实施。
岗位要求：
1. 3年及以上NLP、CV、AIGC或AI相关工作经验；
2. 有LLM、多模态相关经验；
3. 有产品思维，并具备良好的沟通能力；
4. 有较强的动手能力；
5. 有项目落地经验者优先；
6. 有顶会论文者优先。",更新于：2023-12-20
ai算法工程师,北京·海淀区·学院路,15-25K,1-3年,本科,Python,Java,,集异璧科技,计算机服务,20-99人,"岗位职责
1.与算法(模型)工程师协作，完成预训练模型，NLP等相关算法服务封装和架构开发
2.负责相关算法服务程序的架构和性能优化
3.负责相关算法服务程序的线上监控和问题解决
4.负责其他服务开发
任职要求:
1.硕士及以上学历，熟悉常用数据结构和算法，了解常用机器学习算法和深度学习算法
2.熟练使用 Python 语言和相关深度学习库
3.有高性能服务程序设计、实现、优化经验优先，有 ACM 等相关竞赛经验优先
4.善于协作沟通，对程序质量有较强的责任心",更新于：2023-12-20
AI算法研究员 - 梧桐计划,北京,40-60K·15薪,经验不限,本科,无明显侧重,,,某500强上市公司,基金,100-499人,"只看清北和QS20背景！！！
梧桐计划面向全球优秀的本硕博应届毕业生，我们将通过最硬核烧脑的笔试、面试，选拔出最具极客精神的量化新星，并发出“梧桐计划”专属Special offer。
工作职责：
利用公司强大的计算资源，挖掘海量的金融数据，在特征提取、价格预测、组合优化等不同的应用场景实践你的机器学习算法。
任职要求：
熟悉任一机器学习分支领域（如统计学习、深度学习、强化学习、组合优化）；
对量化行业感兴趣，并且有较强的工程实现能力；
计算机、数学、统计学或相关专业硕士或博士学位；
熟悉C++/Python/Go等一种或多种语言，扎实代码功底和实战能力；
熟悉至少一种深度学习框架：TF、PyTorch等。
加分项：
有ACM-ICPC/NOIP/NOI等赛事获奖经历/在计算机顶会或者顶刊有论文发表；
有中型以上规模的机器学习算法应用调优经验，如搜索/推荐/广告/图像。
说明：
不要求有金融背景，公司打造的研究框架让你可以迅速上手并专注于机器学习的应用。
算法天才少年，知识图谱/搜广推/NLP/CV/机器学习/强化学习/深度学习，方向都可
C9以上，清北藤校优先，本硕博。
加分项：其他互联网大厂或者top量化公司的同量级offer，如华为天才少年、阿里星、腾讯大咖、美团北斗、快star等。
加分项：互联网大厂核心部门核心项目的实习，或者顶刊顶会，计算机专业顶会5-6篇；数学/物理专业1-2篇；
加分项：ACM、奥赛：数学/物理/信息学，全国级金牌/银牌以上",更新于：2023-12-19
AI算法工程师(CV方向),北京,70-100K,经验不限,本科,深度学习,图像算法,C/C++,某大型企业服务公司,企业服务,100-499人,"985 211 大厂优先
岗位职责
1. 负责人脸识别和肢体检测相关算法的持续优化迭代；
2. 了解跟进AI/CV技术进展，推动CV算法在实际应用场景中落地。
任职要求
1. 统招本科及以上学历，计算机、数学、自动化等相关专业；
2. 具有扎实的图像处理和机器学习优化算法基础，有目标检测、关键点检测等方向项目落地经验，有模型部署相关经验；
3. 具有良好的计算机基础和编程能力，熟练使用Python语言，熟悉PyTorch/TensorFlow等深度学习框架，熟悉C/C++，有Linux平台下的开发经验；
4. 具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队协作能力。",更新于：2023-12-20
AI算法工程师-nlp方向,北京·海淀区·上地,25-40K·15薪,1-3年,硕士,TensorFlow/PyTorch,,,小白羽,移动互联网,100-499人,"岗位职责
设计和实现自然语言处理算法，包括文本分类、信息提取、情感分析、机器翻译等；
运用深度学习和传统机器学习技术，对大规模文本数据进行处理；
开发和调试基于PyTorch、TensorFlow等框架的NLP模型；
研究和实现基于ChatGPT、LLM等模型的文本生成算法；
分析和优化算法性能，提高算法的效率和准确性；
与团队成员紧密合作，协同完成项目。
岗位要求
1，计算机科学、人工智能、数学、统计学等相关专业的硕士以上学位；
2，有1-3年NLP领域相关经验，精通文本分类、信息提取、情感分析、机器翻译等算法；
3，熟练掌握Python语言，熟悉PyTorch、TensorFlow等深度学习框架；
4，有ChatGPT、LLM等模型开发经验，对NLP领域最新技术有深入了解；
5，熟练掌握常用的数据结构和算法；
6，具备良好的沟通能力和团队合作精神。
加分项
发表过相关领域的论文；
有良好的英语阅读和撰写能力；
有工业界经验，能够快速适应团队的开发环境和工作流程；
对于自然语言处理领域的未来发展有深入的认识和思考。",更新于：2023-12-20
AI算法实习生,北京·海淀区·苏州桥,9-12K,经验不限,本科,无明显侧重,语音/图像识别,Python,驿心科技,互联网,,参与公司生成式人工智能相关研究和应用，工作能让包括并不限于：参与基于大语言模型的对话式产品研发和优化，如大模型训练及微调、加速优化等；参与公司AIGC类产品研发，如文生视频等多模态预训练及微调等。,更新于：2023-12-20
人工智能算法工程师 24年毕业解决北京户口,北京·朝阳区·国贸,15-25K,经验不限,本科,人工智能算法,,,北京烽火万家,通信/网络设备,100-499人,"岗位职责：
1. 根据业务实际需求，选择或设计相应的机器学习或深度学习的算法；
2. 对算法模型进行训练、评估和优化，例如迁移学习、参数优化等；
3. 负责模型所需数据、图片的收集；
4. 对模型进行工程化实现，与项目整体系统做集成。
岗位要求：
1.本科及以上学历，计算机、通信、数学等相关专业；
2.熟练掌握信号与系统基本理论和分析方法；
3.熟练掌握C/C++/MATLAB/Python；
4.有责任心，乐于学习并具有团队合作精神，及良好的沟通能力。",更新于：2023-12-20
移动 国企 AI算法工程师（CV方向）,北京,20-30K,经验不限,硕士,业务导向,语音/图像识别,计算机相关专业,某知名运营商公司,运营商/增值服务,,"工作职责
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、 图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。 2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。 3. 负责跟踪上述领域的先进技术及研发工作。 4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
任职要求
1. 计算机相关专业，大学本科毕业，硕士及以上学历者优先。 2. 具有良好的代码能力，精通各类深度学习框架下，模型研发，熟练掌握Python、Java、C++等至少一种语言。 3. 具备快速阅读深度学习相关论文并理解算法的能力。 4. 针对上述人脸相关方向的深度学习建模具有3年及以上经验。",更新于：2023-12-20
AI算法工程师(NLP方向),北京,20-25K·16薪,1-3年,本科,计算机相关专业,NLP,AI算法,某大型企业服务公司,企业服务,100-499人,"岗位职责：
1. 从事自然语言处理、知识图谱等领域前沿算法的研究，探索人工智能技术的创新和落地应用；
2. 从业务场景和实际问题出发，利用自然语言处理和知识图谱技术，服务于UMU核心AI产品，如AI陪练、AI微课等；
3. 构建知识图谱平台，将智能服务的能力赋予更多的产品和用户。
任职责格：
1. 掌握自然语言处理、信息检索、深度学习理论，实现相关算法技术的落地和应用；
2. 掌握知识图谱相关算法，包括但不限于实体识别、关系抽取、语义消歧、实体链接、知识推理等算法模块研究与优化；
3. 责任心强，积极主动，有良好的沟通协调能力；
4. 本科及以上学历，计算机相关专业，社招1年以上NLP工作经验。",更新于：2023-12-20
智驾技术部_自动驾驶场景生成AI算法工程师,北京·海淀区·西北旺,28-45K·16薪,1-3年,本科,C/C++,Python,TensorFlow/PyTorch,百度,互联网,10000人以上,"工作职责
-通过主动学习等方法挖掘高质量数据，并通过生成式模型生成高质量数据集
-打通仿真数据到测试研发数据全链路
-负责生成式AI算法的研发调试、和测试等工作
-完成相关算法研发和效果验证
任职资格
-具备较好的编程能力，熟练掌握Python/C++编程语言，有Linux平台下开发经验，包括具有使用机器学习库例如TensorFlow、PyTorch的经验
-熟悉NLP、CV等相关技术，熟悉Transformer等深度学习算法，在NLP和CV方面有一定积累沉淀，有一定的多模态相关背景，较强的算法实现能力，熟悉多模态常用算法
-具备深度预训练模型经验者优先。有多模态、NLP、CV、视频/音频算法相关领域经验者优先；对LLM、多模态学习有深入理解和实践，有预训练、可控内容生成方向经验者优先
-有生成模型GAN、VAE、diffusion等工程项目为加分项；有AIGC相关经验者为加分项；有NLP/CV/ML顶会发表经验者（ACL/EMNLP/CVPR/ICCV/NeurIPS等）为加分项
-具备良好的逻辑思维能力、沟通协作能力、自我学习能力，保持对事物的好奇心。态度积极向上，有责任心",更新于：2023-12-20
高德—AI视觉算法工程师,北京·朝阳区·来广营,25-50K·16薪,1-3年,本科,视觉,视频,人脸,高德地图,互联网,1000-9999人,"职位描述：
1. 负责3D、2D人脸/人体建模或生成，包括不限于视频、文本、语音驱动人脸表情，肢体动作生成/表情生成/人脸编辑，风格迁移等；
2. 追踪业界前沿算法，推动AI视觉算法在业务场景中落地并持续优化迭代算法效果；
职位要求：
1、2年及以上视觉、视频、脸部重建或人体重建等方面直接工作经验；
2、具有图像处理相关工作经验,熟悉人脸/肢体生成,语音/文本驱动表情/动作等算法等方向；
3、熟悉主流GAN、diffusion model、nerf等算法；有相关算法落地应用优先；
4、掌握TensorFlow,PyTorch等开源工具中的一种及以上；
5、在相关国际会议或主流期刊CVPR/ICCV/ECCV/NeurIPS/SIGGRAPH/PAMI/IJCV/TIP等上发表论文者优先；
6、具有良好的逻辑思维能力,较强的沟通、学习、团队协作能力,对工作充满热情；
7、较好的算法模型深度优化能力，包括不限于模型结构优化、模型创新、loss设计、超参优化、多卡训练、推理加速、模型蒸馏等。",更新于：2023-12-20
"气象AI算法
工程师",北京·海淀区·中关村,20-25K,1-3年,本科,Python,计算机相关专业,数学/统计相关专业,锦华正航,其他专业服务,0-20人,"（1）负责气象AI大语言模型的研发工作，包括多模态数据预处理、自然语言处理、模型设计、训练、优化和应用等。
（2）负责气象AI大语言模型的训练数据预处理和标注，以及模型训练、评估和调优等工作。
（3）根据实际应用场景，优化模型性能和精度，提高模型在气象预报和气候变化预测等方面的准确性和实用性。
（4）负责气象AI大语言模型在多场景下的应用和推广，为相关部门和领域提供专业支持和解决方案。
（5）负责技术需求文档的撰写和审核，以及与客户的沟通、协调和合作等工作。
（1）具有本科及以上学历，计算机、数学、统计学等相关专业，具备气象领域相关研究经验者优先考虑。
（2）2年以上人工智能研发经验，熟悉自然语言处理、机器学习、深度学习及神经网络等相关知识，并具有实际项目经验，对各种算法和模型有深入理解；
（3）熟练掌握Python等编程语言，具备扎实的数据分析、挖掘和处理能力。
（4）熟悉常用的机器学习框架和工具，如Scikit-learn、TensorFlow、PyTorch、Transformers等。
（5）熟悉气象领域相关技术趋势和应用场景，了解AI大语言模型在气象领域的应用优缺点。
（6）主动性和责任心强，服从工作安排，有良好的团队合作精神，善于沟通,较强的需求理解能力。",更新于：2023-12-10
AI算法应用专家,北京,60-90K,1-3年,本科,C/C++,Python,算法工程化经验,某500强上市公司,电子商务,1000-9999人,"岗位职责：跟踪前沿AI算法进展，并将相应技术赋能到实际的业务场景中。
任职资格：
1. 计算机相关专业，本科及以上学历，2年以上工作经验； 2. 对常见AI任务有一定的实战经验，如意图识别、情感抽取、跨模态检索，并有扎实的理论基础和丰富的研发经验； 3. 对前沿的NLP和多模态技术有一定了解，如LangChain、DeepSpeed、BLIP2、Llama等，有实践经验更佳； 4. 在ICML、ICLR、NeurIPS、CVPR、ICCV、ACL、EMNLP、KDD、SIGIR、RecSys等有人工智能顶会论文发表者优先。",更新于：2023-12-20
人工智能算法设计工程师,北京·海淀区·上地,20-40K·14薪,1-3年,硕士,人工智能算法,,,开普云,互联网,500-999人,"岗位责任：
1.负责人工智能领域的算法设计与开发
2. 负责前瞻性的科学研究工作、领域调研以及成果编写
3.能够根据任务需求撰写分析报告及PPT，能够将任务目标、研发思路、分析结果进行合理呈现。
任职要求：
1. 硕士及以上学历
2. 计算机科学与技术、软件工程、自动化控制等相关专业
3. 具有一定的人工智能理论基础，掌握自然语言处理、机器学习/深度学习、神经网络、模式识别、智能搜索、图神经网络等算法的理论框；
4. 具备较好的数学基础，相关课程成绩优异者优先；
5. 能够熟练运用Python、C/C++、Java、Matlab等至少一种编程语言，有基于Tensorflow、MxNet、Caffe、Pythorch等至少一种机器学习框架或Mahout、MLLib、GraphX等至少一种机器学习算法库从事算法设计经验者优先；
6. 具有人工智能领域科研项目经验者优先；
7. 能够独立开展技术攻关、技术调研和研究方案制定。",更新于：2023-12-20
遥感AI算法工程师,北京,18-25K·14薪,1-3年,本科,算法,遥感,,某铁路公司,铁路/船舶/航空/航天制造,20-99人,"岗位职责：
1. 参与遥感影像智能识别相关的产品研发，协助算法落地
2. 负责遥感业务的视觉感知算法的研发和迭代，研究卫星遥感影像中的物体检
测与分割算法
任职要求：
1. 熟悉 C/C++、Python，有良好的数据结构和算法基础；
2. 有遥感(光学或 SAR)图像处理经验；
3. 深刻理解机器学习、深度学习等相关知识，在目标检测、图像分割、视频分
析等相关领域具有丰富的实践或研究经验
4. 熟悉主流模型和算法，关注领域内的最新进展，能够跟进和实现新的算法;
5. 较强的算法设计和实现能力，熟悉 Caffe/TensorFlow/Pytorch 等训练框架。
6. 良好的团队合作，沟通和协作能力",更新于：2023-12-20
ai算法,北京·朝阳区·望京,30-60K·13薪,经验不限,本科,大模型算法,Python,参加算法相关竞赛/获奖,北京有信必达科技,计算机软件,,"职位描述:
1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿多模态生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
5、负责业内先进的语音合成算法研究，探索个性化TTS、情感化TTS、风格化TTS等前沿技术
职位要求:
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、熟悉vits系列模型、Edge-TTS、Bert-vits2、声码器、fastspeech等模型或者开源库
5、过往有参与过大型对话系统、大横型训练和部罢经验者优先
6、有 ACL、EMNLP、ICLR 等会议论文发表者优先
7、良好的自驱力，较强的团队合作精神",更新于：2023-12-19
AI算法工程师,北京·昌平区·沙河,16-30K·14薪,1-3年,本科,OpenCV,Python,图像算法,图湃医疗,医疗器械,100-499人,"职位描述：
1. 在眼科AI场景下，实践深度学习或机器学习算法，并针对特定任务进行优化。
2. 了解所需相关行业的前沿发展趋势，组织撰写相关技术文档及展示材料并输出相关专利。
3. （独立选项）该岗位可选择成为项目经理，专门负责产品需求、产品定义等工作。
职位要求：
1. 两年深度学习CNN算法实践经验 ，精通pytorch或tensorflow中的一种 并熟练使用opencv算法库。
2. 有SCI期刊或会议学术成果发表者优先。
3. 具备良好的英文读、写能力。
4. （独立选项）具备医学尤其是眼科医学背景，对人工智能产品熟悉了解的，可选择成为AI项目经理。",更新于：2023-12-19
ai算法工程师,北京·朝阳区·安贞,13-18K,1-3年,本科,研究导向,搜索/推荐,语音/图像识别,BRANDX,广告营销,100-499人,"岗位要求：
1、计算机、数学、软件工程或相关专业硕士及以上
2、有扎实的基础知识与算法基础，熟练使用各种编程语言开发
3、了解常用机器学习、深度学习或数据挖掘等算法
工作内容：
1、全程参与软件项目的需求分析、设计、开发及测试等几个阶段；
2、整合并优化项目开发所需各种资源、技术架构，负责保障代码质量，软件项目的持续优化、改进工作;
3、确保服务器正常运行；
4、思考应用场景并提出新idea，结合实际业务场景制定合理解决方案；
5、主要包括但不限于：OCR、人脸识别，肢体识别、手势识别、目标检测、图像分割、图像识别、美颜特效、图像风格迁移等技术研发落地；
岗位要求：
1、本科以上学历，计算机相关专业；
2、熟练掌握C/C++、Python、java等编程语言至少一门编程语言；熟悉OpenCV，以及常用图像处理方法；
3、熟悉深度学习基础知识和经典网络模型，熟练至少一种深度学习工具，例如TensorFlow、PyTorch、PaddlePaddle等
4、熟练Java语言及各种主流框架如SpringBoot等主流框架，有熟悉前端技术，如小程序，Vue等前端技术框架者择优考虑；
5、熟练使用MySQL数据库，有SQL开发经验；
6、熟练liux的基本操作，如开机程序启动配置，shell脚本的编写；",更新于：2023-12-13
AI算法工程师实习生,北京·海淀区·万柳,3-6K,经验不限,本科,无明显侧重,Python,Shell,数业专攻,信息安全,,"1. 工作内容
参与公司AI项目的研发工作，包括但不限于机器学习、深度学习、自然语言处理、计算机视觉等领域。
协助进行数据清洗、预处理和分析，以便进行高效的模型训练。
参与模型的设计、训练、优化和测试，以满足项目需求。
协助进行算法的评估和改进，以提高模型的性能和准确性。
与团队成员紧密合作，共同解决项目中遇到的问题。
2. 任务要求
正在攻读计算机科学、统计学、数学或相关专业的硕士或博士学位。
具有Python编程和数据分析技能。
熟悉至少一种深度学习框架，如TensorFlow、PyTorch等。
对机器学习、深度学习和自然语言处理等领域有深入理解。
具有良好的问题解决能力和团队合作精神。",更新于：2023-11-20
ai算法工程师,北京·朝阳区·国贸,14000-15000元/月,经验不限,本科,业务导向,云计算,,玩车得志,其他生活服务,,"工作时间：不限
工作时段：不限
结算方式：月结
招聘截止时间：2023-06-01
我们是一个年轻有活力的团队，
公司拥有稳定的生意基本盘，有稳健的现金流并且持续盈利，
希望能找到一个能长期一起共事信任的技术合伙人共同成长。
1. 产品类似量化交易的出价系统，非交易平台，有相关经验和逻辑思考的小伙伴优先
2. 根据产品需求，完成技术方案设计、算法设计、软件开发（有同事一起协作）
3. 需要极强的学习能力、逻辑能力
4. 需要极强的落地应用的能力，对技术、是否采用开源等均无要求
5. 学历本科及以上，若能力极强也无要求",更新于：2023-11-20
ai算法工程师,北京·朝阳区·安贞,14-18K,经验不限,本科,图像算法,Python,,中嘉数创,广告/公关/会展,100-499人,"岗位要求：
1、计算机、数学、软件工程或相关专业硕士及以上
2、有扎实的基础知识与算法基础，熟练使用各种编程语言开发
3、了解常用机器学习、深度学习或数据挖掘等算法
工作内容：
1、全程参与软件项目的需求分析、设计、开发及测试等几个阶段；
2、整合并优化项目开发所需各种资源、技术架构，负责保障代码质量，软件项目的持续优化、改进工作;
3、确保服务器正常运行；
4、思考应用场景并提出新idea，结合实际业务场景制定合理解决方案；
5、主要包括但不限于：OCR、人脸识别，肢体识别、手势识别、目标检测、图像分割、图像识别、美颜特效、图像风格迁移等技术研发落地；
岗位要求：
1、本科以上学历，计算机相关专业；
2、熟练掌握C/C++、Python、java等编程语言至少一门编程语言；熟悉OpenCV，以及常用图像处理方法；
3、熟悉深度学习基础知识和经典网络模型，熟练至少一种深度学习工具，例如TensorFlow、PyTorch、PaddlePaddle等
4、熟练Java语言及各种主流框架如SpringBoot等主流框架，有熟悉前端技术，如小程序，Vue等前端技术框架者择优考虑；
5、熟练使用MySQL数据库，有SQL开发经验；
6、熟练liux的基本操作，如开机程序启动配置，shell脚本的编写；
7、有nlp、推荐相关经验者加分；",更新于：2023-12-20
AI 算法工程师,北京,20-40K·14薪,经验不限,本科,生物医疗,Python,深度学习经验,某大型医疗器械公司,医疗器械,100-499人,"岗位职责：深度学习算法研发及模型优化
岗位要求：
1. 统招本科以上学历，数学/计算机/软件/人工智能/医学工程相关专业，计算机视觉/深度学习/
医疗影像研究方向优先考虑；
2. 基本要求： 学习并掌握集团 AI 医疗项目所需的医学专业知识，能将 AI 通用技术有效运用到
AI 医疗项目中，开发出高质量的成熟算法；
3. 精通 Python，熟悉 PyTorch、TensorFlow、Caffe 等一种或多种深度学习训练框架；
4. 有深度学习相关项目经验，有医学图像分割及目标检测项目相关经验者优先；
5. 对于人工智能及深度学习领域有浓厚兴趣，能够跟踪深度学习领域内前沿学术进展，并将前沿
学术研究与自研产品结合落地，有 CVPR、ICCV、ECCV、NIPS、MICCAI 等相关领域会议、期刊论文
者优先；
6. 熟悉 Git 代码管理，Docker 镜像维护，以及 Flask，Django 等框架技术者优先。",更新于：2023-12-20
AI算法工程师(NLP方向)【No.001】,北京,20-40K·14薪,1-3年,本科,计算机相关专业,自然语言处理项目经验,知识图谱相关经验,UMU,企业服务,100-499人,"岗位职责：
1. 从事自然语言处理、知识图谱等领域前沿算法的研究，探索人工智能技术的创新和落地应用；
2. 从业务场景和实际问题出发，利用自然语言处理和知识图谱技术，服务于UMU核心AI产品，如AI陪练、AI微课等；
3. 构建知识图谱平台，将智能服务的能力赋予更多的产品和用户。
任职责格：
1. 掌握自然语言处理、信息检索、深度学习理论，实现相关算法技术的落地和应用；
2. 掌握知识图谱相关算法，包括但不限于实体识别、关系抽取、语义消歧、实体链接、知识推理等算法模块研究与优化；
3. 责任心强，积极主动，有良好的沟通协调能力；
4. 本科及以上学历，计算机相关专业，社招1年以上NLP工作经验。",更新于：2023-12-20
ai算法工程师,北京·海淀区·紫竹桥,20-40K,经验不限,本科,业务导向,,,易车,互联网,1000-9999人,"负责公司AI相关技术研发，参与大模型算法的设计、开发和优化。应用大模型技术提升问答系统的对话能力。解决大规模数据处理和分析中的技术问题。
任职要求：本科及以上学历，计算机科学、人工智能、数学或相关专业背景。熟悉深度学习、机器学习等AI算法，熟练掌握pyTorch，tensorFlow等工具。熟悉对话系统相关NLP技术，具备意图识别、多轮对话相关项目经验。熟练掌握Python、C++等编程语言，具备良好的编程能力。具备pretrain、SFT、RLHF相关经验，熟悉LoRA等训练模块具有量化、剪枝、蒸馏、dynamic batching等大模型部署相关经验，熟练掌握Agent相关框架工具。具备大规模数据处理和分析经验，熟悉常用的数据处理工具和框架。具备良好的沟通能力和团队合作精神，能够与不同背景的团队成员高效协作。",更新于：2023-12-11
AI算法工程师(S9756),北京·朝阳区·望京,30-50K·13薪,1-3年,本科,TensorFlow,Python,PyTorch,伊对,社交网络,100-499人,"职位描述:
1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿 NLP 生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
5、负责业内先进的语音合成算法研究，探索个性化TTS、情感化TTS、风格化TTS等前沿技术
职位要求:
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、熟悉vits系列模型、Edge-TTS、Bert-vits2、声码器、fastspeech等模型或者开源库
5、过往有参与过大型对话系统、大横型训练和部罢经验者优先
6、有 ACL、EMNLP、ICLR 等会议论文发表者优先
7、良好的自驱力，较强的团队合作精神",更新于：2023-12-20
初级AI算法工程师（免费午餐 周末双休）,北京·海淀区·三里河,10-15K,1-3年,本科,业务导向,语音/图像识别,C/C++,建科研,计算机软件,100-499人,"一、岗位职责
1.负责公司内部各业务线的AI算法开发和支持包括但不仅限于：
1.1各场景下的AI标注（辅助标注）算法，目标检测、多目标跟踪、语义分割、全景分割、3D点云目标检测、跟踪，点云语义分割等；
1.2公司既有的业务流程提效相关算法，任务智能标签、预估、画像、智能匹配分发等算法。
2.跟进行业内前沿技术，保持行业技术储备
2.1跟踪行业内从数据到算法模型以及pipeline的整体技术并进行必要的技术储备，在业务需要的时候能够及时上线。
二、任职要求
1.全日制统招本科及以上学历，学信网可查，计算机相关专业，在计算机视觉有1-3年工作经验，包括但不限于：图像分类和识别、图像视频理解、图像分割、目标检测、OCR、图像处理、点云分割、3D检测、三维重建等，熟练的编程和调试能力，精通至少一种主流编程语言， 如Python，C/C++等，了解基础的数据结构和常用传统CV算法；
2.具有1年以上的OpenCV实战经验；
3.具有1年以上的PyTorch/TensorFlow/PaddlePaddle等框架的实战经验，有完整的AI产品落地经验；
4.对模型训练有深入理解，有模型优化及迭代的经验及模型检测速度优化经验优先；
5.良好的学习能力和独立解决问题的能力，工作积极，拥有技术热情；
6.优秀的沟通能力和强烈的责任心，具有良好的团队合作意识和极强的责任心。",更新于：2023-12-20
ai算法工程师,北京·昌平区·天通苑,12-20K,1-3年,本科,Python,TensorFlow,PyTorch,聚宝技术,计算机软件,20-99人,"AI算法工程师（人工智能方向）
岗位职责：
1、 负责语音识别ASR和TTS核心算法的应用实现和调优，包括基于BERT模型的训练以及优化等；
2、负责业务场景下自然语言处理NLP技术，包括文本分类、意图识别、句法分析、自动摘要、情感分析和语义理解等；
3、训练专属NLU模型，参与多轮对话系统、知识库的构建和管理；
岗位要求：
1、理解并掌握机器学习、NLP、统计学、数据挖掘的算法和技术，有自然语言处理、数据挖掘、机器学习的项目经验者优先；
2、扎实的编码能力与算法基础,，至少掌握 尤其是Python、C/C++、Java、Php 中的一种；
3、计算机，数学，统计，电子工程及相关专业；
4、熟悉至少一种深度学习平台；
公司介绍：
公司位于北京天通苑地区，致力于自然语言理解NLU、机器学习（ML）和智能语音技术，为企业提供人工智能驱动的对话式营销及客服(AI sales & customer service) 解决方案。
旗舰产品一休机器人，能够快速识别出客户对话中表达的意思，精准判断客户意向，并以类人化的语气进行自然沟通。通过多渠道的双向对话方式，能自动联系和跟进潜在客户，帮助公司更快更有效地接触潜在客户，并提供基于AI的智能客户服务。
公司正在和微软（美国西雅图研发总部）进行技术合作，现已服务上百家客户，分布于海外电商、出海游戏、金融科技和物流快递等多个行业。",更新于：2023-12-20
AI算法工程师,北京·东城区·和平里,20-40K,1-3年,本科,机器学习,深度学习,图像算法,永航科技,游戏,1000-9999人,"岗位职责:
1.从事机器学习和深度学习在游戏开发中应用研究。
2.主要针对 3D游戏中 使用AI驱动角色的动画，AI生成表情相关的内容。
3.解决AI技术在工程落地中的各种挑战
任职要求:
1.计算机或相关专业，本科及以上学历；
2. 熟悉机器学习的算法和基础理论；
3.了解3D游戏中 骨骼动画以及其他类型动画的概念；
4.能将论文落地的能力；
关键需求素质：
机器学习的基础扎实；
理解3d游戏里骨骼动画，理解3d游戏的基本概念
具备将论文落地的能力",更新于：2023-12-20
ai算法工程师,北京·海淀区·苏州桥,10-15K,1-3年,本科,无明显侧重,搜索/推荐,Python,超丽智能,互联网,0-20人,"任职要求：
- 熟练掌握机器学习 / 深度学习workflow；1年以上相关相关工作经验
- 熟练掌握TensorRT / ONNX模型
- 熟练掌握Tensorflow / Pytorch其中一种，熟悉分布式训练架构与调优
- 熟悉Nvidia GPU各系列架构；熟悉cuDF / cuML / cuBlas /cuda等机器学习相关计算库
- 有较强编程能力，熟悉下列之一或更多：Python / Go / C++
- 有较强工程能力，熟悉下列几种之一或更多：k8s / docker / jupyter notebook / kubeflow
优先考虑：
- 有深度学习推理引擎优化工作经验者优先
- 热爱互联网，热衷追求技术极致与创新
- 愿意分享、沟通协作能力强",更新于：2023-12-19
