岗位名称,区位,薪资,工作经验,学历,关键词1,关键词2,关键词3,企业名称,企业类别,企业规模,岗位要求,更新时间
ai算法工程师,北京·海淀区·苏州桥,10-15K·14薪,1-3年,本科,Hadoop/Hive/Spark,Python,,海藻科技,信息安全,0-20人,"岗位职责：
1、利用深度学习和机器学习的方法,对公司部分模型构建与优化；
2、负责语料基本处理、转化和清洗（ETL）；
3、负责知识图谱构建中问题的落地和开发，负责产品工程化落地。
任职要求：
1、本科及以上学历，计算机相关专业；
2、掌握基本自然语言处理方法，如正则表达式、句法分析等；
3、熟练使用开源NLP工具，如HanLP，StanfordNLP，NLTK等；
4、有相关项目经验者优先，如词类（分词、词性标、命名实体识别），句类（句法分析），文档类（情感分析，情感要素抽取，主题聚类等）；
5、熟悉常用网络结构及原理,CNN,RNN,LSTM等；
6、熟悉应用框架TensorFlow、Pytorch等；
7、熟悉Python网络框架，Flask等优先；
8、对知识图谱构建、查询、图优化等有经验者优先；
9、了解基本Linux命令、熟悉Git，svn等使用。",更新于：2023-12-21
算法工程师（点云ai方向）,北京,40-50K·16薪,3-5年,本科,C/C++,机器学习算法/工程化经验,深度学习经验,某大型知名机械设备公司,机械设备/机电/重工,10000人以上,"【岗位职责】
1、负责基于深度学习激光雷达点云的3D目标检测、分割、跟踪等算法的研究及迭代计算；
2、负责自动驾驶中激光雷达感知算法的长期研发和迭代，及算法在及时产品中的落地与优化提升。
【任职资格】
1、本科及以上学历，要有ai模型训练和使用经验，具备深度学习经验。
2、有至少4年工作经验；
3、工作项目涉及激光雷达感知、点云感知、目标检测、深度学习、pointpillar、聚类相关的，涉及其中2个以上；
4、有自动驾驶行业（矿山领域更好）从业经验。",更新于：2023-12-22
AI+药物研发算法工程师,北京,45-65K,1-3年,硕士,TensorFlow/PyTorch,计算机相关专业,研究导向,某大型医疗器械公司,医疗器械,,"职位描述（有比较强的使用transformer或者大语言模型进行自然语言处理算法）
1. 从事制药领域前瞻性算法开发；
2. 开发/应用机器学习/深度学习的算法来辅助药物靶点识别和临床信息整理；
3.与内部药物研发团队合作，通过构建机器学习/深度学习的模型，解决生物医学问题
4. 跟踪行业最新动态；
5. 参与其他算法相关项目。
任职要求
学历及专业：
学历：硕士及以上
专业：计算机，数学，统计学，生物学，化学，医药学，物理学等专业。复合专业背景优先，如计算生物学，生物信息学，分子生物学，结构生物学，计算化学，计算生物物理学，生物物理学，系统生物学，物理化学，化学信息学，药学信息学或者组合专业等，
至少具备以下三组专业技能之一：
专业技能1：
1. 熟悉机器学习/深度学习相关工具，比如Tensorflow，Scikit-learn，Pytorch等；
2. 有使用机器学习深度学习工具做药物研发的经验优先；
3. 熟悉核心机器学习领域相关理论，比如Artifical Neural Networks，Supervised/Unsupervised learning methods，SVM，Bayesian approaches，Decision Theory等；
4. 具有较强的编程能力，熟练掌握Python/C/C++/JAVA等相关语言；
5. 熟悉分子生物学，基因组学或者药物研发相关科学优先。
专业技能2：
1. 熟练使用分子动力学模拟软件或分子对接软件，如Pymol、GROMACS、AMBER、Rosetta、Schrödinger软件等。
2. 熟悉基于结构/配体的药物设计方法，如同源建模、分子对接、虚拟筛选、QSAR、药效团模型、分子动力学、结合自由能等。
3、熟悉药物筛选及药物设计的方法和流程；
4. 具有较强的编程能力，熟练掌握python/C/C++/JAVA等相关语言；
5. 具有计算机辅助药物设计经验者优先。
专业技能3：
1. 熟练使用化学信息学工具包，如RDKit，Openbabel等。
2. 熟悉药学、生物学相关数据库，如chEMBL，PDB，KEGG，OMIM等。
3. 在以下一个或多个领域有相关经验：虚拟筛选，基于计算的先导化合物优化，药物设计，分子动力学，量子力学，化学信息学或ADMET/QSAR；
4. 具有较强的编程能力，熟练掌握python/C/C++/JAVA等相关语言；",更新于：2023-12-22
算法工程师（AI Agent）,北京·海淀区·学院路,30-60K·14薪,1-3年,本科,大模型算法,自然语言处理算法,Python,面壁智能,计算机服务,20-99人,"岗位职责：
1. 在行业内领先的Agent框架开发团队工作，参与到最前沿的技术研究与实践；
2. 对算法进行优化和改进，提高Agent系统的可靠性和性能；
3. 与跨职能团队密切合作，包括产品、设计和开发团队，确保按时交付高质量的Agent解决方案；
4. 跟踪和研究Agent领域的最新技术动态。
职位需求:
1. 统招硕士及以上学历，计算机及相关专业，2年以上相关工作经验；
2. 较强的算法开发能力，熟悉C++、python、shell、cuda等一种或多种编程语言；
3. 具备良好的沟通和团队协作能力，拥有创新意识和独立解决问题的能力；
4. 熟悉Agent技术领域的最新研究成果，有实际项目落地经验者优先；
5. 高质量相关论文ACL，ICLR，KDD，AAAI作者优先。",更新于：2023-12-16
ai算法研究员（北京医为AI事业部）,北京·海淀区·知春路,25-50K,3-5年,本科,大模型算法,深度学习,图像算法,东华软件,计算机软件,10000人以上,"硬性条件：
全日制一本以上学历，硕士优先，2年以上经验
岗位职责：
1、结合临床具体需求，负责图像或文本算法研发，包括深度学习、图像处理等算法和软件研发；
2、负责算法性能优化；
职位要求：
1、数学，计算机，机器视觉、物理，生物医学工程等相关专业，有医学图像处理与分析及相关开发经验优先；
2、精通Torch、Tensorflow框架；
3、精通python；
4、对医学影像处理及AI算法有丰富经验和和成功案例者优先；
5、有发表高水平文章或项目申请经验者优先。",更新于：2023-12-22
AI 算法工程师,北京,40-70K,3-5年,本科,大模型算法,深度学习,机器学习,某大型互联网公司,互联网,100-499人,"工作职责：
1. 负责机器学习数据清洗、特征计算、模型训练及预测的开发工作；
2. 负责包括大语言模型在内的深度学习训练和推理的性能优化工作；
3. 负责将 AI 技术落地到教育场景的系统开发工作。
任职要求：
5. 计算机相关专业，精通至少一门语言，Java/C++/Python 等，具有扎实的代码功底和实战能力；
6. 3 年及以上 AI 工程开发经验，熟悉 Tensorflow/Pytorch 等 AI 算法框架；
7. 熟悉常见机器学习算法及实现，熟悉数据并行、模型并行等实现方式；
8. 能够在分布式系统（CPU/GPU）环境进行算法开发和性能调优；
9. 良好的沟通能力和团队协作能力。
加分项：
1. 在头部互联网公司有 AI 工程、大模型工程优化经验者优先；
2. 具备大规模 GPU 多机多卡优化经验者优先；
3. 在国际 AI 顶会发表过论文者优先。",更新于：2023-12-22
软件/AI/算法开发及测试工程师（OD）,北京·海淀区·上地,15-30K·14薪,经验不限,本科,机器学习,大模型算法,图像算法,华为,计算机软件,10000人以上,"岗位职责：
1、参与面向运营商和政企客户ToB商业解决方案产品需求分析、设计，能够独立完成单个模块的功能设计、开发、测试;
2、负责大数据/AI/AR/VR/RPA等领域关键技术的预研验证，消除版本落地的技术风险;
3、负责开发过程中的技术攻关、性能调优、资源优化等;
4、关注软件产品的架构看护和持续演进。
技能要求：
1、具备较强的需求理解能力、代码实现能力和问题分析能力;
2、能够结合业务场景抽象业务模型，有良好的面向对象设计经验;
3、对技术有激情，喜欢钻研，有较强的独立、主动学习能力;
4、强烈的责任心，做事认真细致，具备良好的团队合作精神，沟通能力佳。
专业知识：
1、掌握Java/C/C++/Python开发技术，熟悉常用的Spring Boot、MyBatis等开发框架，熟悉常见的数据库;
2、熟悉常用数据结构及算法，掌握常用的软件设计模式;
3、具备软件工程领域知识，熟悉系统设计、开发、测试等研发领域的流程、工程方法和工具;
4、熟悉分布式系统和架构，有高并发、高可用系统的设计、开发和调优经验者优先。
前端开发工程师（OD）
岗位职责：
1、负责面向运营商和政企客户知识社区等解决方案的前端开发;
2、负责相关公共数据服务的前端开发;
3、负责相关移动应用的前端开发。
技能要求：
1、具备较强的需求理解能力、代码实现能力和问题分析能力;
2、强烈的责任心，做事认真细致，具备良好的团队合作精神，沟通能力佳;对技术有激情，喜欢钻研，有较强的独立、主动的学习能力;
专业知识：
1、掌握JavaScript、HTML5、CSS3等前端技术;
2、掌握JSON、Ajax，axios等前后端请求方式，会处理跨域相关问题;
3、掌握Vue.js、angular框架其一;
4、对nodejs环境熟悉，会使用npm，webpack等前端脚手架相关工具。
测试工程师（OD）
岗位职责：
1、负责产品全流程需求验证，包括测试需求分析、方案和用例设计输出、环境准备、测试执行、质量评估等；
2、负责产品 DFX 测试，包括安全、性能、可靠性、可服务性等，提升产品质量竞争力；
3、负责产品测试工程能力及自动化设计实现，提升产品测试效率。
技能要求：
1、具备一年及以上的软件开发或软件测试经验；
2、强烈的责任心，做事认真细致，具备良好的团队合作精神，沟通能力佳；
3、对技术有激情，喜欢钻研，有较强的独立、主动的学习能力；
4、有良好的问题分析和改进知识及能力。
专业知识：
1、熟悉软件测试知识、工程方法和测试工具，至少有一项 DFX 测试经验（安全、性能、可靠性、可服务性等）;
2、精通安全、自动化测试，有 java 或 python 开发经验者优先；
3、熟悉操作系统（ Linux / MAC ）和数据库基础知识。",更新于：2023-12-22
AI算法工程师（多模态/AIGC）,北京·朝阳区·姚家园,20-30K·15薪,1年以内,硕士,机器学习算法/工程化经验,AIGC,Diffusion,即时设计,互联网,100-499人,"岗位职责：
1. 负责AIGC方向 应用型人工智能产品的研发，跟进行业动态并及时应用各种开源技术方案进行快速搭建开发测试环境；
2. 阅读并理解各种开源技术方案的源代码和相关论文，深入研究背后的原理和算法，提出优化和改进方案；
3. 根据产品需求，整合多种独立的技术方案代码，解决代码集成中可能遇到的问题，形成综合解决方案；
4. 协同前端、产品团队一起，对产品进行优化和持续改进；
5. 开发和维护应用型人工智能产品所需的后端服务和工具，保证系统的稳定性和可扩展性；
6. 研究并使用各种人工智能技术和算法，不断优化产品的性能和用户体验。
任职要求：
1. 本科及以上学历，计算机、人工智能等相关专业；
2. 1年以上人工智能相关领域开发经验；
3. 对人工智能行业发展趋势及时跟进，并能够快速应用各种开源技术方案进行快速搭建开发测试环境；
4. 能够阅读理解各种开源技术方案的源代码和相关论文，熟悉各种人工智能算法和模型；
5. 熟悉至少一种常用编程语言，如Python、C++、Java等；
6. 熟练使用常用深度学习框架，如TensorFlow、PyTorch等；
7. 熟悉常用数据库技术和缓存技术，如MySQL、Redis等；
8. 熟悉Linux操作系统和常用命令；
9. 具备良好的沟通和团队协作能力；
10. 有创新思维和解决问题的能力。",更新于：2023-12-22
人工智能算法工程师,北京·丰台区·总部基地,12-24K,经验不限,本科,业务导向,Python,Hadoop/Hive/Spark,武汉弗腾技术有限公司,计算机软件,,"岗位职责：
1. 能够结合客户要求与应用场景，设计、开发、部署算法模型，满足业务发展需求；
2. 负责与客户对接算法需求，并提供解决方案；
3. 负责算法模型的维护、调优、升级，相关设计文档、开发文档与部署文档的编写与管理；
4. 负责对新兴应用领域与前沿发展技术的探索预研，结合公司发展与业务需求，落地应用到项目与产品中。
职位要求：
1. 985/211大学本科及以上学历，计算机、数学、统计学、人工智能等相关专业，相关工作经验2年以上，对数据挖掘、数据建模、应用部署拥有丰富的工作经验；
2. 精通Python，有一定的工程能力，能够独立实现算法模型的设计、训练、开发、部署、调优；
3. 熟悉机器学习算法、 pandas scikit-learn等包，熟悉XGBOOST, LSTM, PCA降维；
4. 具有优秀的编程能力，精通Python、R、Java等编程语言中的一种或多种；
5. 熟悉开源的机器学习框架，掌握数据挖掘、数据可视化及相关算法模型，如决策树、聚类、SVM等，具备相关的项目经验；
6. 较强的逻辑思维、沟通表达能力和学习能力，较好的团队合作精神；
7. 持续关注与研究前沿技术发展，拥有将机器学习的理论转化为生产力的能力；
8. 能够到项目地点短期工作。",更新于：2023-12-13
AI算法专家 (MJ000010),北京·朝阳区·世贸天阶,50-80K,3-5年,本科,机器学习算法/工程化经验,深度学习经验,Pandas,JoinQuant聚宽,基金,20-99人,"职位描述:
基于机器学习和深度学习进行量化模型研究
其他相关工作
职位要求:
本科以上学历
三年以上头部机器学习应用场景算法工作经验，包括但不限于搜索、推荐、广告、图像、自动驾驶等，上线过有显著业务增量的模型算法
出色的编程技能，熟悉 Pandas、Tensorflow、Pytorch 等工具使用
优秀的个人品德，谦逊的做事风格，良好的沟通能力
乐观、积极、严谨而负责
对量化交易有浓厚兴趣，熟悉证券交易的业务知识
聚宽深度用户、各类竞赛获奖者、头部期刊论文者优先",更新于：2023-12-22
AI算法工程师,北京·朝阳区·高碑店,10-15K,1-3年,硕士,大模型算法,深度学习,强化学习,博雅智信,在线教育,,"诚招线上AI辅导老师（可兼职），方向主要为人工智能（AI）、大数据（BD）以及其他IT方向；
薪资范围：10-20K
工作职责
1.负责人工智能相关课程的辅导答疑工作；
2.根据教学辅导的需要，为学员定制学习计划，整理与开发学习课程，监督学员的学习情况，及时回复学员的疑问等；
3.改进教学方法，更新教学大纲，教学案例开发更新升级，完善教学案例、教学资料及其他教学内容；
4.教学类别包括但不限于如下，要求至少精通一个类别：计算机视觉（CV）、自然语言处理（NLP）、大语言模型（LLM）、机器视觉、推荐算法、搜索算法、广告算法、大数据开发、数据挖掘、金融风控，SLAM算法等；
5.配合市场部老师进行潜在意向学员的学习需求沟通；
工作要求
1.全日制本科及以上学历，计算、数学、统计或其他理工科相关专业，在职算法工程师优先，特别优秀的在校大学生亦可考虑；
2.沟通能力强，有耐心，具备团队协作能力；
3.网络授课答疑，有稳定的网络，安静的环境即可；
4.工作时间自主支配，无课时要求，根据个人意愿而定；
5.完善的培训体系和师资服务，解决缺乏辅导经验的所有困扰；
工作日期：不限
工作时间：不限
结算方式：月结",更新于：2023-12-22
AI算法模型工程师,北京,20-40K,经验不限,本科,人脸识别,,,某大型通信公司,通信/网络设备,100-499人,"1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、
图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
1. 计算机相关专业，大学本科毕业，硕士及以上学历者优先。
2. 具有良好的代码能力，精通各类深度学习框架下，模型研发，熟练掌握Python、Java、C++等至少一种语言。
3. 具备快速阅读深度学习相关论文并理解算法的能力。
4. 针对上述人脸相关方向的深度学习建模具有3年及以上经验。",更新于：2023-12-22
AI算法工程师（政务大模型）,北京·西城区·西便门,35-55K·15薪,经验不限,本科,计算机相关专业,数学/统计相关专业,,中移集成,通信/网络设备,1000-9999人,"岗位描述：
1、政务行业大模型训练数据的收集与梳理；
2、政务行业大模型的预训练与精调，行业专用模型架构设计与实现；
3、政务知识图谱的构建与维护，政务新闻政策信息抽取pipeline搭建；
4、政务大模型应用的工程化应用开发与对接，完成prompt工程开发，完成与外部知识库对接。
任职资格：
1、 计算机相关专业，硕士及以上学历；
2、 具有良好的代码能力，精通各类深度学习框架下，模型研发，熟练掌握Python、Java等至少一种语言，熟练掌握Pytorch、TensorFlow等深度学习框架；
3、 具备快速阅读深度学习相关论文并理解算法的能力；
4、有大模型训练经验者优先；
5、有政务行业人工智能应用经验者优先；",更新于：2023-12-22
AI算法工程师,北京·丰台区·岳各庄,15-25K,经验不限,学历不限,语音/图像识别,C/C++,Python,天津怪诞,企业服务,100-499人,"至少三年以上实战经验（可校内参与项目）或者实战项目超过5个以上。
初创公司，股权奖励，抓住AI机遇，赢得未来
岗位职责：
1、AI图像识别；
2、机器深度学习；
3、参与公司其它项目的研发，按要求完成研发任务。
任职要求：
最重要的一条：热爱前沿技术，想在人工智能新赛道成就一番事业者。
1）本科(统招)及以上学历，计算机、电子、控制、数学、人工智能相关专业。1年左右的相关工作经验，若有2-3年以上人工智能领域相关开发经验者优先；
2）熟悉深度学习理论，在图像分类、目标检测、图像分割等领域有经验者优先；
3）熟悉pytorch/tensorflow/caffe/darknet等深度学习框架并能熟练进行算法实现和改进；
4）熟悉CNN、SSD、YOLO等常见网络结构；
5）参加过深度学习模型部署、产品落地等工作者优先；
6）熟练掌握python和c#语言着优先；
7）具备良好的学习能力和分析解决问题能力。",更新于：2023-12-22
AI算法应用专家,北京,60-90K,1-3年,本科,C/C++,Python,算法工程化经验,某500强上市公司,电子商务,1000-9999人,"岗位职责：跟踪前沿AI算法进展，并将相应技术赋能到实际的业务场景中。
任职资格：
1. 计算机相关专业，本科及以上学历，2年以上工作经验； 2. 对常见AI任务有一定的实战经验，如意图识别、情感抽取、跨模态检索，并有扎实的理论基础和丰富的研发经验； 3. 对前沿的NLP和多模态技术有一定了解，如LangChain、DeepSpeed、BLIP2、Llama等，有实践经验更佳； 4. 在ICML、ICLR、NeurIPS、CVPR、ICCV、ACL、EMNLP、KDD、SIGIR、RecSys等有人工智能顶会论文发表者优先。",更新于：2023-12-22
AI算法模型工程师,北京·昌平区·沙河,25-50K,1-3年,本科,无明显侧重,,,中移动金融全资子公司,互联网金融,500-999人,"岗位职责
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、
图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
任职资格
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。",更新于：2023-12-22
银行正编！算法工程师 人工智能,北京,20-40K,经验不限,本科,机器学习算法/工程化经验,数学/统计相关专业,计算机相关专业,某500强上市公司,互联网金融,1000-9999人,"""岗位职责：
1、参与软件开发项目的具体实施；
2、负责程序编码开发工作，参与技术测试工作；
3、负责支持系统的推广培训等工作；
4、负责系统上线后升级维护需求的实施；
5、主要为银行核心业务、公司业务、中间业务、零售业务、金融市场、电子渠道及海外业务等开发项目进行系统分析与开发工作。""
""1、本科及以上学历，计算机及相关专业，两年及以上相关工作经验，
2、熟练掌握Java语言、C语言、C++、C#等开发语言，熟悉UNIX或LINUX操作系统，掌握MySQL、Oracle或其他数据库；
3、分布式方向：需熟练掌握Java语言，了解GO语言，熟悉Spring、Mybatis、HTML5等前后端开源框架，具备企业级分布式服务框架及服务治理领域开发经验者优先，具备分布式服务架构，Istio,Spring Cloud，Consul，ElasticSearch及分布式消息队列等框架及技术开发技能者优先；
4、前端方向：需三年以上web、安卓或IOS开发工作经验，精通web、Android App或IOS APP开发框架和开发模式，了解开发平台、Framework和底层设计原理，多线程、网络等相关知识；
5、JAVA平台方向：需熟练掌握Java语言及SSM等开源框架，熟悉http、socket等通讯协议，了解Restful，熟悉HTML5 、Jquary、Bootstrap、VUE等前端技术或框架，在底层技术平台领域具有开发经验者优先;
6、C语言平台方向：具备较强的UNIX或Linux C语言开发及系统设计能力，熟悉多进程通信、消息队列、socket通信等，熟悉嵌入式C语言数据库编程，具备shell脚本编程能力，三年以上相关开发经验；
7、人工智能方向：需有自然语言处理/计算机视觉/模式识别与分类相关教育背景和工作经验。熟悉TensorFlow、Keras等框架，熟练掌握Spark ML/MLLib 工具包，熟悉通过机器学习提升传统模型的精度、算法开发与优化过程，熟悉GBDT/XGboost/LSTM/CNN/RNN算法模型并有项目经验者优先；
8、安卓客户端方向：有扎实的Java和Kotlin语言基础，熟悉常用数据结构和算法；精通多线程和网络编程，对高性能程序设计、架构设计有较多经验，能快速搭建、调试或重构大规模软件代码；掌握数据加密、代码混淆、防破解、性能优化等技术；熟悉Android系统体系结构、framework、底层库；熟悉android系统打包编译、插件化、热修复等主流技术原理，对android系统框架、对客户端稳定性和性能优化有经验者优先；
9、苹果客户端方向：熟练掌握OC、Swift（有实际项目经验），并了解其底层原理如内存模型和内部实现原理，以及编译过程；精通iOS SDK中的UI、网络、XML/JSON解析等开发技术；对设计模式MVC，MVVM、APP架构，APP性能检测，Crash方案，解耦方案等有经验者优先；
10、有银行项目实施经验者优先；具备较强的工作责任心和团队合作意识，抗压能力强，具有较强分析问题和解决问题的能力，具备良好的协调沟通能力；""",更新于：2023-12-22
ai算法工程师,北京·海淀区·北京大学,18-25K,经验不限,本科,Python,,,青鸟职业教育,培训/辅导机构,100-499人,"工作内容：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。
岗位职责：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。",更新于：2023-12-22
AI算法实习生,北京·海淀区·苏州桥,9-12K,经验不限,本科,无明显侧重,语音/图像识别,Python,驿心科技,互联网,,参与公司生成式人工智能相关研究和应用，工作能让包括并不限于：参与基于大语言模型的对话式产品研发和优化，如大模型训练及微调、加速优化等；参与公司AIGC类产品研发，如文生视频等多模态预训练及微调等。,更新于：2023-12-22
AI算法优化专家,北京·大兴区·亦庄,30-60K·15薪,经验不限,本科,研究导向,,,斑马网络,互联网,1000-9999人,"岗位职责：
-负责智驾算法在GPU/DLA等算力平台上的部署，包括模型量化、模型剪枝等技术
-负责智驾算法端到端性能优化，包括子图优化、算子优化、模型前后处理优化等技术
-与算法团队紧密合作，从性能/精度/部署成本等维度为算法团队提供输入和指标要求
-负责智驾整系统性能调试与优化，解决资源占用、资源竞争等问题，确保整系统达到上车指标
任职资格
-硕士5年以上工作经验，含2年以上AI高性能计算开发经验，且在GPU领域有2年以上开发经验
-熟练掌握C++/CUDA等编程语言，扎实的数据结构与算法能力，熟悉计算机体系架构等基础知识
-熟悉Xavier/Orin计算平台，熟练掌握TensorRT推理引擎，并有GPU/DLA算子开发经验者优先
-熟悉cuDNN、Cutlass等任一高性能算子库，并有相关开发经验者优先
-良好的发现问题、解决问题、团队协作和沟通能力。",更新于：2023-12-22
AI算法模型工程师,北京·昌平区·沙河,25-50K,经验不限,本科,大模型算法,图像算法,SQL,中移动金融全资子公司,互联网金融,500-999人,"岗位职责
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、
图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
任职资格
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。",更新于：2023-12-22
AI算法工程师,北京·朝阳区·朝阳公园,30-50K,1-3年,本科,研究导向,Python,机器学习算法/工程化经验,时光乐章,医疗健康,20-99人,"公司简介：
时光乐章成立于2023年，背靠消费、文娱产业巨头，致力于打造 AI+心理健康用户服务体系。创始团队汇聚老牌产业大佬、心理学领域顶级权威、AI 领域国际顶尖科学家、VR/AR 知名企业创始人、管理咨询和私募股权投资等领域资深人士。
我们正在招聘一名专注于大语言模型（LLMs）的AI算法工程师加入我们的团队，该职位将直接汇报给CTO（AI领域顶尖科学家）。
职责：
1.使用大语言模型API进行应用程序开发
2.对LLMs执行提示工程微调，针对特定任务优化模型性能
3.熟悉大模型的主流multi-agent框架
4.熟知大模型的主流微调算法及向量数据库
5.负责技术文档的开发和维护，包括设计文档、用户手册以及故障排除指南
要求：
1.持有国内外一流院校计算机科学、数据科学、机器学习、人工智能或相关领域的学士或硕士学位
2.具备强大的Python编程能力，并有使用大模型API的经验
3.有产品上线经验者将被优先考虑
4.出色的问题解决能力，能独立完成任务，同时也能融入团队合作
5.优秀的沟通及人际交往技巧
关于福利：
1.足额缴纳五险一金。
2.试用期薪资全额发放。
3.上下班不打卡，自觉工作。
4.公司snack corner，无限零食随便吃。
全员搞笑精英，快来和我们一起来碰撞火花吧！！",更新于：2023-12-22
ai算法,北京,20-25K·16薪,经验不限,本科,生物医疗,CNN/RNN/LSTM,R,某大型医疗器械公司,医疗器械,100-499人,"1. 在眼科AI场景下，实践深度学习或机器学习算法，并针对特定任务进行优化。
2. 了解所需相关行业的前沿发展趋势，组织撰写相关技术文档及展示材料并输出相关专利。
3. （独立选项）该岗位可选择成为项目经理，专门负责产品需求、产品定义等工作。",更新于：2023-12-22
ai高级算法工程师,北京,40-70K,经验不限,本科,搜索/推荐,计算机相关专业,数学/统计相关专业,某500强上市公司,基金,100-499人,"职位描述
工作职责：
1. 挖掘海量的金融数据，在特征提取、价格预测、组合优化等不同的应用场景实践你的机器学习算法；
2. AI前瞻领域预研与实验；
任职要求：
1. 熟悉任一机器学习分支领域（如统计学习，深度学习，强化学习，组合优化或其他相关前沿技术等）
2. 对量化行业感兴趣，并且有较强的工程实现能力
3. 计算机、数学、统计学或相关专业硕士或博士学位
4. 熟悉C++/Python/Go等一种或多种语言，扎实代码功底和实战能力
5. 熟悉至少一种深度学习框架：TF，pytorch等
PS：不要求金融背景，公司打造的研究框架让你可以迅速上手并专注于机器学习的应用
如果你有以下经历 ，将大大加分：
ACM/ICPC/NOIP/NOI等赛事获奖选手；
在计算机顶会或者顶刊有论文发表；
有中型以上规模的机器学习算法应用调优经验，如搜索/推荐/广告/图像；",更新于：2023-12-22
AI算法工程师 国企正式编制,北京,15-30K,经验不限,本科,业务导向,智能营销/广告,语音/图像识别,某大型互联网金融公司,互联网金融,500-999人,"工作职责
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、 图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
任职要求
1. 计算机相关专业，大学本科毕业，硕士及以上学历者优先。
2. 具有良好的代码能力，精通各类深度学习框架下，模型研发，熟练掌握Python、Java、C++等至少一种语言。
3. 具备快速阅读深度学习相关论文并理解算法的能力。
4. 针对上述人脸相关方向的深度学习建模具有3年及以上经验。",更新于：2023-12-22
